label,img-1,img-2,img_1_path,img_2_path,actual_result,result
Billie Eilish,Billie Eilish_1.jpg,Roger Federer_68.jpg,./Images/Billie Eilish/Billie Eilish_1.jpg,./Images/Roger Federer/Roger Federer_68.jpg,False,False
Ellen Degeneres,Ellen Degeneres_40.jpg,Camila Cabello_75.jpg,./Images/Ellen Degeneres/Ellen Degeneres_40.jpg,./Images/Camila Cabello/Camila Cabello_75.jpg,False,False
Priyanka Chopra,Priyanka Chopra_52.jpg,Lisa Kudrow_5.jpg,./Images/Priyanka Chopra/Priyanka Chopra_52.jpg,./Images/Lisa Kudrow/Lisa Kudrow_5.jpg,False,False
Zac Efron,Zac Efron_51.jpg,Ellen Degeneres_50.jpg,./Images/Zac Efron/Zac Efron_51.jpg,./Images/Ellen Degeneres/Ellen Degeneres_50.jpg,False,False
Priyanka Chopra,Priyanka Chopra_100.jpg,Vijay Deverakonda_103.jpg,./Images/Priyanka Chopra/Priyanka Chopra_100.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_103.jpg,False,False
Marmik,Marmik_27.jpg,Elizabeth Olsen_4.jpg,./Images/Marmik/Marmik_27.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_4.jpg,False,False
Billie Eilish,Billie Eilish_65.jpg,Dwayne Johnson_34.jpg,./Images/Billie Eilish/Billie Eilish_65.jpg,./Images/Dwayne Johnson/Dwayne Johnson_34.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_7.jpg,Charlize Theron_21.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_7.jpg,./Images/Charlize Theron/Charlize Theron_21.jpg,False,False
Andy Samberg,Andy Samberg_38.jpg,Billie Eilish_51.jpg,./Images/Andy Samberg/Andy Samberg_38.jpg,./Images/Billie Eilish/Billie Eilish_51.jpg,False,False
Roger Federer,Roger Federer_5.jpg,Akshay Kumar_12.jpg,./Images/Roger Federer/Roger Federer_5.jpg,./Images/Akshay Kumar/Akshay Kumar_12.jpg,False,False
Akshay Kumar,Akshay Kumar_2.jpg,Dwayne Johnson_13.jpg,./Images/Akshay Kumar/Akshay Kumar_2.jpg,./Images/Dwayne Johnson/Dwayne Johnson_13.jpg,False,False
Courtney Cox,Courtney Cox_10.jpg,Margot Robbie_30.jpg,./Images/Courtney Cox/Courtney Cox_10.jpg,./Images/Margot Robbie/Margot Robbie_30.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_82.jpg,Ellen Degeneres_52.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_82.jpg,./Images/Ellen Degeneres/Ellen Degeneres_52.jpg,False,False
Alia Bhatt,Alia Bhatt_20.jpg,Roger Federer_5.jpg,./Images/Alia Bhatt/Alia Bhatt_20.jpg,./Images/Roger Federer/Roger Federer_5.jpg,False,False
Andy Samberg,Andy Samberg_52.jpg,Marmik_25.jpg,./Images/Andy Samberg/Andy Samberg_52.jpg,./Images/Marmik/Marmik_25.jpg,False,False
Claire Holt,Claire Holt_56.jpg,Hugh Jackman_49.jpg,./Images/Claire Holt/Claire Holt_56.jpg,./Images/Hugh Jackman/Hugh Jackman_49.jpg,False,False
Tom Cruise,Tom Cruise_27.jpg,Dwayne Johnson_57.jpg,./Images/Tom Cruise/Tom Cruise_27.jpg,./Images/Dwayne Johnson/Dwayne Johnson_57.jpg,False,False
Andy Samberg,Andy Samberg_17.jpg,Anushka Sharma_21.jpg,./Images/Andy Samberg/Andy Samberg_17.jpg,./Images/Anushka Sharma/Anushka Sharma_21.jpg,False,False
Tom Cruise,Tom Cruise_6.jpg,Elizabeth Olsen_56.jpg,./Images/Tom Cruise/Tom Cruise_6.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_56.jpg,False,False
Jessica Alba,Jessica Alba_69.jpg,Dwayne Johnson_29.jpg,./Images/Jessica Alba/Jessica Alba_69.jpg,./Images/Dwayne Johnson/Dwayne Johnson_29.jpg,False,False
Ellen Degeneres,Ellen Degeneres_64.jpg,Kashyap_3.jpg,./Images/Ellen Degeneres/Ellen Degeneres_64.jpg,./Images/Kashyap/Kashyap_3.jpg,False,False
Charlize Theron,Charlize Theron_30.jpg,Jessica Alba_45.jpg,./Images/Charlize Theron/Charlize Theron_30.jpg,./Images/Jessica Alba/Jessica Alba_45.jpg,False,False
Priyanka Chopra,Priyanka Chopra_43.jpg,Brad Pitt_118.jpg,./Images/Priyanka Chopra/Priyanka Chopra_43.jpg,./Images/Brad Pitt/Brad Pitt_118.jpg,False,False
Virat Kohli,Virat Kohli_26.jpg,Courtney Cox_53.jpg,./Images/Virat Kohli/Virat Kohli_26.jpg,./Images/Courtney Cox/Courtney Cox_53.jpg,False,False
Zac Efron,Zac Efron_28.jpg,Henry Cavill_74.jpg,./Images/Zac Efron/Zac Efron_28.jpg,./Images/Henry Cavill/Henry Cavill_74.jpg,False,False
Hrithik Roshan,Hrithik Roshan_25.jpg,Robert Downey Jr_69.jpg,./Images/Hrithik Roshan/Hrithik Roshan_25.jpg,./Images/Robert Downey Jr/Robert Downey Jr_69.jpg,False,False
Alia Bhatt,Alia Bhatt_40.jpg,Charlize Theron_70.jpg,./Images/Alia Bhatt/Alia Bhatt_40.jpg,./Images/Charlize Theron/Charlize Theron_70.jpg,False,False
Roger Federer,Roger Federer_8.jpg,Anushka Sharma_36.jpg,./Images/Roger Federer/Roger Federer_8.jpg,./Images/Anushka Sharma/Anushka Sharma_36.jpg,False,False
Virat Kohli,Virat Kohli_6.jpg,Dwayne Johnson_9.jpg,./Images/Virat Kohli/Virat Kohli_6.jpg,./Images/Dwayne Johnson/Dwayne Johnson_9.jpg,False,False
Natalie Portman,Natalie Portman_28.jpg,Virat Kohli_27.jpg,./Images/Natalie Portman/Natalie Portman_28.jpg,./Images/Virat Kohli/Virat Kohli_27.jpg,False,False
Virat Kohli,Virat Kohli_17.jpg,Kashyap_13.jpg,./Images/Virat Kohli/Virat Kohli_17.jpg,./Images/Kashyap/Kashyap_13.jpg,False,False
Hrithik Roshan,Hrithik Roshan_70.jpg,Ellen Degeneres_67.jpg,./Images/Hrithik Roshan/Hrithik Roshan_70.jpg,./Images/Ellen Degeneres/Ellen Degeneres_67.jpg,False,False
Courtney Cox,Courtney Cox_46.jpg,Hrithik Roshan_62.jpg,./Images/Courtney Cox/Courtney Cox_46.jpg,./Images/Hrithik Roshan/Hrithik Roshan_62.jpg,False,False
Zac Efron,Zac Efron_90.jpg,Vijay Deverakonda_92.jpg,./Images/Zac Efron/Zac Efron_90.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_92.jpg,False,False
Kashyap,Kashyap_23.jpg,Roger Federer_62.jpg,./Images/Kashyap/Kashyap_23.jpg,./Images/Roger Federer/Roger Federer_62.jpg,False,False
Akshay Kumar,Akshay Kumar_49.jpg,Lisa Kudrow_36.jpg,./Images/Akshay Kumar/Akshay Kumar_49.jpg,./Images/Lisa Kudrow/Lisa Kudrow_36.jpg,False,False
Amitabh Bachchan,Amitabh Bachchan_64.jpg,Roger Federer_58.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_64.jpg,./Images/Roger Federer/Roger Federer_58.jpg,False,False
Virat Kohli,Virat Kohli_6.jpg,Claire Holt_78.jpg,./Images/Virat Kohli/Virat Kohli_6.jpg,./Images/Claire Holt/Claire Holt_78.jpg,False,False
Natalie Portman,Natalie Portman_4.jpg,Amitabh Bachchan_43.jpg,./Images/Natalie Portman/Natalie Portman_4.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_43.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_5.jpg,Margot Robbie_41.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_5.jpg,./Images/Margot Robbie/Margot Robbie_41.jpg,False,False
Alexandra Daddario,Alexandra Daddario_79.jpg,Courtney Cox_39.jpg,./Images/Alexandra Daddario/Alexandra Daddario_79.jpg,./Images/Courtney Cox/Courtney Cox_39.jpg,False,False
Roger Federer,Roger Federer_11.jpg,Akshay Kumar_7.jpg,./Images/Roger Federer/Roger Federer_11.jpg,./Images/Akshay Kumar/Akshay Kumar_7.jpg,False,False
Kashyap,Kashyap_24.jpg,Brad Pitt_9.jpg,./Images/Kashyap/Kashyap_24.jpg,./Images/Brad Pitt/Brad Pitt_9.jpg,False,False
Henry Cavill,Henry Cavill_50.jpg,Alia Bhatt_55.jpg,./Images/Henry Cavill/Henry Cavill_50.jpg,./Images/Alia Bhatt/Alia Bhatt_55.jpg,False,False
Marmik,Marmik_12.jpg,Kashyap_11.jpg,./Images/Marmik/Marmik_12.jpg,./Images/Kashyap/Kashyap_11.jpg,False,False
Camila Cabello,Camila Cabello_67.jpg,Amitabh Bachchan_17.jpg,./Images/Camila Cabello/Camila Cabello_67.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_17.jpg,False,False
Kashyap,Kashyap_13.jpg,Zac Efron_56.jpg,./Images/Kashyap/Kashyap_13.jpg,./Images/Zac Efron/Zac Efron_56.jpg,False,False
Hugh Jackman,Hugh Jackman_37.jpg,Kashyap_7.jpg,./Images/Hugh Jackman/Hugh Jackman_37.jpg,./Images/Kashyap/Kashyap_7.jpg,False,False
Elizabeth Olsen,Elizabeth Olsen_9.jpg,Kashyap_4.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_9.jpg,./Images/Kashyap/Kashyap_4.jpg,False,False
Camila Cabello,Camila Cabello_6.jpg,Akshay Kumar_4.jpg,./Images/Camila Cabello/Camila Cabello_6.jpg,./Images/Akshay Kumar/Akshay Kumar_4.jpg,False,False
Virat Kohli,Virat Kohli_4.jpg,Hugh Jackman_2.jpg,./Images/Virat Kohli/Virat Kohli_4.jpg,./Images/Hugh Jackman/Hugh Jackman_2.jpg,False,False
Hugh Jackman,Hugh Jackman_99.jpg,Marmik_19.jpg,./Images/Hugh Jackman/Hugh Jackman_99.jpg,./Images/Marmik/Marmik_19.jpg,False,False
Natalie Portman,Natalie Portman_7.jpg,Amitabh Bachchan_27.jpg,./Images/Natalie Portman/Natalie Portman_7.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_27.jpg,False,False
Tom Cruise,Tom Cruise_42.jpg,Zac Efron_13.jpg,./Images/Tom Cruise/Tom Cruise_42.jpg,./Images/Zac Efron/Zac Efron_13.jpg,False,False
Kashyap,Kashyap_13.jpg,Roger Federer_31.jpg,./Images/Kashyap/Kashyap_13.jpg,./Images/Roger Federer/Roger Federer_31.jpg,False,True
Courtney Cox,Courtney Cox_34.jpg,Zac Efron_2.jpg,./Images/Courtney Cox/Courtney Cox_34.jpg,./Images/Zac Efron/Zac Efron_2.jpg,False,False
Marmik,Marmik_20.jpg,Amitabh Bachchan_7.jpg,./Images/Marmik/Marmik_20.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_7.jpg,False,False
Courtney Cox,Courtney Cox_18.jpg,Marmik_28.jpg,./Images/Courtney Cox/Courtney Cox_18.jpg,./Images/Marmik/Marmik_28.jpg,False,False
Tom Cruise,Tom Cruise_45.jpg,Amitabh Bachchan_0.jpg,./Images/Tom Cruise/Tom Cruise_45.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_0.jpg,False,False
Charlize Theron,Charlize Theron_41.jpg,Alia Bhatt_49.jpg,./Images/Charlize Theron/Charlize Theron_41.jpg,./Images/Alia Bhatt/Alia Bhatt_49.jpg,False,False
Hugh Jackman,Hugh Jackman_1.jpg,Tom Cruise_50.jpg,./Images/Hugh Jackman/Hugh Jackman_1.jpg,./Images/Tom Cruise/Tom Cruise_50.jpg,False,False
Amitabh Bachchan,Amitabh Bachchan_69.jpg,Camila Cabello_26.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_69.jpg,./Images/Camila Cabello/Camila Cabello_26.jpg,False,False
Elizabeth Olsen,Elizabeth Olsen_56.jpg,Amitabh Bachchan_54.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_56.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_54.jpg,False,False
Virat Kohli,Virat Kohli_32.jpg,Tom Cruise_4.jpg,./Images/Virat Kohli/Virat Kohli_32.jpg,./Images/Tom Cruise/Tom Cruise_4.jpg,False,False
Margot Robbie,Margot Robbie_47.jpg,Tom Cruise_16.jpg,./Images/Margot Robbie/Margot Robbie_47.jpg,./Images/Tom Cruise/Tom Cruise_16.jpg,False,False
Charlize Theron,Charlize Theron_25.jpg,Alia Bhatt_13.jpg,./Images/Charlize Theron/Charlize Theron_25.jpg,./Images/Alia Bhatt/Alia Bhatt_13.jpg,False,False
Courtney Cox,Courtney Cox_41.jpg,Elizabeth Olsen_44.jpg,./Images/Courtney Cox/Courtney Cox_41.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_44.jpg,False,False
Brad Pitt,Brad Pitt_55.jpg,Tom Cruise_8.jpg,./Images/Brad Pitt/Brad Pitt_55.jpg,./Images/Tom Cruise/Tom Cruise_8.jpg,False,False
Robert Downey Jr,Robert Downey Jr_74.jpg,Akshay Kumar_49.jpg,./Images/Robert Downey Jr/Robert Downey Jr_74.jpg,./Images/Akshay Kumar/Akshay Kumar_49.jpg,False,False
Amitabh Bachchan,Amitabh Bachchan_71.jpg,Robert Downey Jr_36.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_71.jpg,./Images/Robert Downey Jr/Robert Downey Jr_36.jpg,False,False
Akshay Kumar,Akshay Kumar_48.jpg,Natalie Portman_0.jpg,./Images/Akshay Kumar/Akshay Kumar_48.jpg,./Images/Natalie Portman/Natalie Portman_0.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_11.jpg,Charlize Theron_9.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_11.jpg,./Images/Charlize Theron/Charlize Theron_9.jpg,False,False
Jessica Alba,Jessica Alba_36.jpg,Ellen Degeneres_8.jpg,./Images/Jessica Alba/Jessica Alba_36.jpg,./Images/Ellen Degeneres/Ellen Degeneres_8.jpg,False,False
Andy Samberg,Andy Samberg_65.jpg,Courtney Cox_34.jpg,./Images/Andy Samberg/Andy Samberg_65.jpg,./Images/Courtney Cox/Courtney Cox_34.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_19.jpg,Robert Downey Jr_32.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_19.jpg,./Images/Robert Downey Jr/Robert Downey Jr_32.jpg,False,False
Natalie Portman,Natalie Portman_93.jpg,Zac Efron_82.jpg,./Images/Natalie Portman/Natalie Portman_93.jpg,./Images/Zac Efron/Zac Efron_82.jpg,False,False
Priyanka Chopra,Priyanka Chopra_40.jpg,Akshay Kumar_24.jpg,./Images/Priyanka Chopra/Priyanka Chopra_40.jpg,./Images/Akshay Kumar/Akshay Kumar_24.jpg,False,False
Robert Downey Jr,Robert Downey Jr_32.jpg,Claire Holt_70.jpg,./Images/Robert Downey Jr/Robert Downey Jr_32.jpg,./Images/Claire Holt/Claire Holt_70.jpg,False,False
Hrithik Roshan,Hrithik Roshan_78.jpg,Dwayne Johnson_18.jpg,./Images/Hrithik Roshan/Hrithik Roshan_78.jpg,./Images/Dwayne Johnson/Dwayne Johnson_18.jpg,False,False
Akshay Kumar,Akshay Kumar_19.jpg,Lisa Kudrow_16.jpg,./Images/Akshay Kumar/Akshay Kumar_19.jpg,./Images/Lisa Kudrow/Lisa Kudrow_16.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_82.jpg,Anushka Sharma_55.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_82.jpg,./Images/Anushka Sharma/Anushka Sharma_55.jpg,False,False
Ellen Degeneres,Ellen Degeneres_17.jpg,Courtney Cox_55.jpg,./Images/Ellen Degeneres/Ellen Degeneres_17.jpg,./Images/Courtney Cox/Courtney Cox_55.jpg,False,False
Anushka Sharma,Anushka Sharma_21.jpg,Lisa Kudrow_65.jpg,./Images/Anushka Sharma/Anushka Sharma_21.jpg,./Images/Lisa Kudrow/Lisa Kudrow_65.jpg,False,False
Kashyap,Kashyap_10.jpg,Tom Cruise_6.jpg,./Images/Kashyap/Kashyap_10.jpg,./Images/Tom Cruise/Tom Cruise_6.jpg,False,False
Alexandra Daddario,Alexandra Daddario_79.jpg,Akshay Kumar_46.jpg,./Images/Alexandra Daddario/Alexandra Daddario_79.jpg,./Images/Akshay Kumar/Akshay Kumar_46.jpg,False,True
Lisa Kudrow,Lisa Kudrow_53.jpg,Anushka Sharma_66.jpg,./Images/Lisa Kudrow/Lisa Kudrow_53.jpg,./Images/Anushka Sharma/Anushka Sharma_66.jpg,False,False
Marmik,Marmik_2.jpg,Priyanka Chopra_92.jpg,./Images/Marmik/Marmik_2.jpg,./Images/Priyanka Chopra/Priyanka Chopra_92.jpg,False,False
Ellen Degeneres,Ellen Degeneres_39.jpg,Elizabeth Olsen_39.jpg,./Images/Ellen Degeneres/Ellen Degeneres_39.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_39.jpg,False,False
Ellen Degeneres,Ellen Degeneres_40.jpg,Tom Cruise_16.jpg,./Images/Ellen Degeneres/Ellen Degeneres_40.jpg,./Images/Tom Cruise/Tom Cruise_16.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_114.jpg,Andy Samberg_61.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_114.jpg,./Images/Andy Samberg/Andy Samberg_61.jpg,False,False
Elizabeth Olsen,Elizabeth Olsen_1.jpg,Charlize Theron_13.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_1.jpg,./Images/Charlize Theron/Charlize Theron_13.jpg,False,False
Andy Samberg,Andy Samberg_73.jpg,Hugh Jackman_96.jpg,./Images/Andy Samberg/Andy Samberg_73.jpg,./Images/Hugh Jackman/Hugh Jackman_96.jpg,False,False
Ellen Degeneres,Ellen Degeneres_9.jpg,Marmik_5.jpg,./Images/Ellen Degeneres/Ellen Degeneres_9.jpg,./Images/Marmik/Marmik_5.jpg,False,False
Andy Samberg,Andy Samberg_31.jpg,Brad Pitt_8.jpg,./Images/Andy Samberg/Andy Samberg_31.jpg,./Images/Brad Pitt/Brad Pitt_8.jpg,False,False
Hugh Jackman,Hugh Jackman_28.jpg,Roger Federer_38.jpg,./Images/Hugh Jackman/Hugh Jackman_28.jpg,./Images/Roger Federer/Roger Federer_38.jpg,False,False
Brad Pitt,Brad Pitt_2.jpg,Akshay Kumar_24.jpg,./Images/Brad Pitt/Brad Pitt_2.jpg,./Images/Akshay Kumar/Akshay Kumar_24.jpg,False,False
Lisa Kudrow,Lisa Kudrow_57.jpg,Marmik_16.jpg,./Images/Lisa Kudrow/Lisa Kudrow_57.jpg,./Images/Marmik/Marmik_16.jpg,False,False
Alia Bhatt,Alia Bhatt_64.jpg,Vijay Deverakonda_58.jpg,./Images/Alia Bhatt/Alia Bhatt_64.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_58.jpg,False,False
Vijay Deverakonda,Vijay Deverakonda_111.jpg,Hugh Jackman_67.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_111.jpg,./Images/Hugh Jackman/Hugh Jackman_67.jpg,False,False
Elizabeth Olsen,Elizabeth Olsen_57.jpg,Billie Eilish_35.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_57.jpg,./Images/Billie Eilish/Billie Eilish_35.jpg,False,False
Priyanka Chopra,Priyanka Chopra_75.jpg,Vijay Deverakonda_22.jpg,./Images/Priyanka Chopra/Priyanka Chopra_75.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_22.jpg,False,False
Robert Downey Jr,Robert Downey Jr_74.jpg,Vijay Deverakonda_42.jpg,./Images/Robert Downey Jr/Robert Downey Jr_74.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_42.jpg,False,False
Anushka Sharma,Anushka Sharma_66.jpg,Margot Robbie_13.jpg,./Images/Anushka Sharma/Anushka Sharma_66.jpg,./Images/Margot Robbie/Margot Robbie_13.jpg,False,False
Camila Cabello,Camila Cabello_78.jpg,Charlize Theron_55.jpg,./Images/Camila Cabello/Camila Cabello_78.jpg,./Images/Charlize Theron/Charlize Theron_55.jpg,False,False
Virat Kohli,Virat Kohli_11.jpg,Roger Federer_43.jpg,./Images/Virat Kohli/Virat Kohli_11.jpg,./Images/Roger Federer/Roger Federer_43.jpg,False,False
Courtney Cox,Courtney Cox_17.jpg,Alexandra Daddario_34.jpg,./Images/Courtney Cox/Courtney Cox_17.jpg,./Images/Alexandra Daddario/Alexandra Daddario_34.jpg,False,False
Priyanka Chopra,Priyanka Chopra_71.jpg,Alexandra Daddario_26.jpg,./Images/Priyanka Chopra/Priyanka Chopra_71.jpg,./Images/Alexandra Daddario/Alexandra Daddario_26.jpg,False,True
Hugh Jackman,Hugh Jackman_68.jpg,Anushka Sharma_33.jpg,./Images/Hugh Jackman/Hugh Jackman_68.jpg,./Images/Anushka Sharma/Anushka Sharma_33.jpg,False,False
Anushka Sharma,Anushka Sharma_50.jpg,Vijay Deverakonda_81.jpg,./Images/Anushka Sharma/Anushka Sharma_50.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_81.jpg,False,False
Akshay Kumar,Akshay Kumar_8.jpg,Priyanka Chopra_43.jpg,./Images/Akshay Kumar/Akshay Kumar_8.jpg,./Images/Priyanka Chopra/Priyanka Chopra_43.jpg,False,False
Anushka Sharma,Anushka Sharma_41.jpg,Kashyap_10.jpg,./Images/Anushka Sharma/Anushka Sharma_41.jpg,./Images/Kashyap/Kashyap_10.jpg,False,False
Charlize Theron,Charlize Theron_12.jpg,Brad Pitt_30.jpg,./Images/Charlize Theron/Charlize Theron_12.jpg,./Images/Brad Pitt/Brad Pitt_30.jpg,False,False
Jessica Alba,Jessica Alba_90.jpg,Elizabeth Olsen_4.jpg,./Images/Jessica Alba/Jessica Alba_90.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_4.jpg,False,False
Virat Kohli,Virat Kohli_44.jpg,Marmik_25.jpg,./Images/Virat Kohli/Virat Kohli_44.jpg,./Images/Marmik/Marmik_25.jpg,False,False
Virat Kohli,Virat Kohli_2.jpg,Vijay Deverakonda_48.jpg,./Images/Virat Kohli/Virat Kohli_2.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_48.jpg,False,False
Elizabeth Olsen,Elizabeth Olsen_45.jpg,Claire Holt_18.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_45.jpg,./Images/Claire Holt/Claire Holt_18.jpg,False,False
Claire Holt,Claire Holt_26.jpg,Tom Cruise_53.jpg,./Images/Claire Holt/Claire Holt_26.jpg,./Images/Tom Cruise/Tom Cruise_53.jpg,False,False
Roger Federer,Roger Federer_27.jpg,Billie Eilish_73.jpg,./Images/Roger Federer/Roger Federer_27.jpg,./Images/Billie Eilish/Billie Eilish_73.jpg,False,False
Akshay Kumar,Akshay Kumar_11.jpg,Billie Eilish_23.jpg,./Images/Akshay Kumar/Akshay Kumar_11.jpg,./Images/Billie Eilish/Billie Eilish_23.jpg,False,False
Zac Efron,Zac Efron_69.jpg,Natalie Portman_25.jpg,./Images/Zac Efron/Zac Efron_69.jpg,./Images/Natalie Portman/Natalie Portman_25.jpg,False,False
Jessica Alba,Jessica Alba_59.jpg,Billie Eilish_19.jpg,./Images/Jessica Alba/Jessica Alba_59.jpg,./Images/Billie Eilish/Billie Eilish_19.jpg,False,False
Virat Kohli,Virat Kohli_6.jpg,Camila Cabello_38.jpg,./Images/Virat Kohli/Virat Kohli_6.jpg,./Images/Camila Cabello/Camila Cabello_38.jpg,False,False
Margot Robbie,Margot Robbie_3.jpg,Alia Bhatt_68.jpg,./Images/Margot Robbie/Margot Robbie_3.jpg,./Images/Alia Bhatt/Alia Bhatt_68.jpg,False,False
Claire Holt,Claire Holt_60.jpg,Virat Kohli_16.jpg,./Images/Claire Holt/Claire Holt_60.jpg,./Images/Virat Kohli/Virat Kohli_16.jpg,False,False
Virat Kohli,Virat Kohli_10.jpg,Anushka Sharma_67.jpg,./Images/Virat Kohli/Virat Kohli_10.jpg,./Images/Anushka Sharma/Anushka Sharma_67.jpg,False,False
